link;named_entity1;named_entity2;named_entity3;named_entity4;named_entity5;named_entity6;named_entity7;named_entity8;named_entity9;named_entity10;named_entity11;named_entity12;named_entity13;named_entity14;named_entity15;named_entity16;named_entity17;named_entity18;named_entity19;named_entity20;named_entity21
https://www.britishmuseum.org/collection/object/P_L-83-40;child;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-8-109;peasant;woman;dog;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_R-4-126;man;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-5-17;Madonna del Pesce;;Christ;Raphael;Tobias;fish;St Jerome;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-5-90;St John the Evangelist;serpent;eagle;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-100;St James the Less;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_O-6-219;Count Adolf van Nieuwenaar;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1948-0410-4-214;people;silkworm;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-60-63;winged figure;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-212;St James the Less;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-83-105;St John the Baptist;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-57-65;Printmaker;assistant;man;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-153;Eve;cow;dog;girl;monkey;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-57-52;Cutler;man;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1954-0813-12-28;St Paul;Exorcists;figure;demon;naked figure;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-84;Abraham;Hagar;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-83-85;male;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_Gg-6-2-7;Zephyrus;Flora;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-8-95;Trojans;Greeks;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-5-153;Roman Emperor;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-174;boy;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-275;Virgin Mary;Gabriel;Holy Spirit;putto;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-77-17;Portrait bust;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-68;Avarita;wolf;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-8;Christ;woman;apostle;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1954-0813-12-19;angel;Cornelius;St Peter;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_R-4-120;Sophocles;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1952-0705-1-45;constellation Auriga;child;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-57-13;Book binder;figure;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_O-5-156;Gerrit Jansz. van Schooten;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_W-8-9;Virgin;Christ;St Joseph;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-57;Christ;farmer;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_W-1-109;Virgin;Christ;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-1-102;Holy Family;St Elizabeth;St John the Baptist;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-211;Judas Maccabeus;man;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-71-101;Philipp, Count of Oettingen;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_U-11-25;Holy Family;Christ;Virgin;St John the Baptist;St Joseph;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-69;Herod;man;child;woman;mother;soldier;baby;horse;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-8-176;man;Christ;St John the Evangelist;St Bernardino;holy woman;Virgin;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-241;woman;man;gentleman;ruff;cow;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-214;Judas Maccabeus;follower;Timotheus;man;heavenly warriors;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-200;Saul;David;Goliath;Solomon;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_X-2-14;Martha;Christ;apostle;figure;Lazarus;Mary;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-181;Christ;Virgin;St Joseph;shepherd;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_O-7-10;Henry VII;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1954-0813-12-34;St Paul;crowd;soldier;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-202;Christ;guard;woman;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1948-0410-4-49;Gideon;King of the Midianites;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-1-325-327;sea creature;monster;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-53;Joseph brothers;sheep;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-6-59;putto;Bacchus;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-335;Nicodemus;St Joseph of Arimathaea;Christ;holy woman;St John the Evangelist;Virgin Mary;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_P-4-33;Oliver Cromwell;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-381;angel;;;;;;;;;;;;;;;;;;;;
